0	1	39
1	0	85
2	8	181
3	11	93
4	7	182
5	3	157
6	0	37
7	6	52
8	2	58
9	11	158
10	7	168
11	18	170
12	0	0
13	0	0
14	0	0
15	0	0
16	4	23
17	4	64
18	0	8
19	0	17
20	0	25
21	0	2
22	2	65
23	8	135
24	0	204
25	10	88
26	2	48
27	0	91
28	0	107
29	2	136
30	0	108
31	0	116
32	1	108
33	2	112
34	5	64
35	12	35
36	10	131
37	3	76
38	0	112
39	1	53
40	3	26
41	5	78
42	7	51
43	12	87
44	2	28
45	0	144
46	9	170
47	0	0
48	0	0
49	3	74
50	6	122
51	1	60
52	0	19
53	6	30
54	7	90
55	6	63
56	8	64
57	4	52
58	8	45
59	1	23
60	1	15
61	6	8
62	8	8
63	3	3
64	8	23
65	5	56
66	6	56
67	5	38
68	7	35
